start_id,start_name,des_id,des_name
500000643,清华东路南区周边,500000646,中关村东升科技园·学院园
500000642,北京农大北区,500000420,中国科学院半导体研究所
500020447,润泽嘉业大酒店,500020376,北大博雅国际酒店北区
500016118,清华东路27号院周边,500017661,清华科技园东区
500020067,六道口南区,500020081,北京红杉假日酒店北区
500000643,清华东路南区周边,500000250,学研大厦
500000651,中国科学院半导体研究所,500000643,清华东路南区周边
500000644,圣熙8号购物中心北区,500000643,清华东路南区周边
500000652,六所大厦,500000420,中国科学院半导体研究所
500000643,清华东路南区周边,500000642,北京农大北区
500000646,中关村东升科技园·学院园,500000420,中国科学院半导体研究所
500013329,北京大学燕东园,500016607,中关村
500000656,医协医院北区,500024464,竹溪园南区
500020084,林业大学,500026377,凯时广场
500020005,双清路18号院南区,500019270,双清路周边